zip,zip latitude,zip longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
20065,38.883412,-77.028198,ARTECHOUSE,38.88429895695728,-77.02926580391524,Art Gallery
20065,38.883412,-77.028198,"Mandarin Oriental, Washington DC",38.8836589,-77.0303185,Hotel
20065,38.883412,-77.028198,International Spy Museum,38.883895,-77.025539,Museum
20065,38.883412,-77.028198,Maine Avenue Fish Market,38.88114495715981,-77.0281178195069,Fish Market
20065,38.883412,-77.028198,Falafel Inc,38.881443,-77.0275,Falafel Restaurant
20065,38.883412,-77.028198,Blue Bottle Coffee,38.88108427819072,-77.02683509320596,Coffee Shop
20065,38.883412,-77.028198,Officina,38.88123656705686,-77.02710885222002,Italian Restaurant
20065,38.883412,-77.028198,Captain White's Seafood,38.880986237056796,-77.02832772545156,Fish Market
20065,38.883412,-77.028198,"The Spa at Mandarin Oriental, Washington DC",38.88362119583344,-77.03019976615907,Spa
20065,38.883412,-77.028198,Tiki TNT,38.88110070365886,-77.02740876476939,Tiki Bar
20065,38.883412,-77.028198,The Anthem,38.880049346332456,-77.02601735712379,Music Venue
20065,38.883412,-77.028198,Shake Shack,38.880328999999996,-77.026472,Burger Joint
20065,38.883412,-77.028198,Cafe Twelve,38.88415,-77.028295,Sandwich Place
20065,38.883412,-77.028198,Rappahannock Oyster Bar,38.8812617838854,-77.02762778933298,Seafood Restaurant
20065,38.883412,-77.028198,Roti Modern Mediterranean,38.88391650000001,-77.0251943,Mediterranean Restaurant
20065,38.883412,-77.028198,La Vie,38.879946135904476,-77.02581947464151,Mediterranean Restaurant
20065,38.883412,-77.028198,USDA Cafeteria,38.88687028451811,-77.02918768589527,Café
20065,38.883412,-77.028198,Mi Vida,38.87977932027242,-77.02577028208567,Mexican Restaurant
20065,38.883412,-77.028198,District Doughnut,38.88086301203372,-77.02701760748178,Donut Shop
20065,38.883412,-77.028198,Starbucks,38.88381079999999,-77.02399342,Coffee Shop
20065,38.883412,-77.028198,Red Robin Gourmet Burgers and Brews,38.88384628295898,-77.0251693725586,Burger Joint
20065,38.883412,-77.028198,Knapp Memorial Arch,38.88746895783978,-77.02879098978718,Historic Site
20065,38.883412,-77.028198,National Car Rental,38.884538,-77.024962,Rental Car Location
20065,38.883412,-77.028198,Milk Bar,38.8799112,-77.0251126,Dessert Shop
20065,38.883412,-77.028198,Politics and Prose at The Wharf,38.880108492788466,-77.02521210259225,Bookstore
20065,38.883412,-77.028198,12 Stories,38.87956348112724,-77.02530394339001,Cocktail Bar
20065,38.883412,-77.028198,Cantina Bambina,38.87987708891401,-77.02635079622267,Mexican Restaurant
20065,38.883412,-77.028198,Starbucks,38.88456991,-77.02964852,Coffee Shop
20065,38.883412,-77.028198,Church's Chicken,38.884038764681655,-77.02506791058258,Fried Chicken Joint
20065,38.883412,-77.028198,Empress Lounge,38.883596141122716,-77.03023999929428,Lounge
20065,38.883412,-77.028198,Alamo Rent A Car,38.884674,-77.0254068,Rental Car Location
20065,38.883412,-77.028198,Subway,38.883814,-77.02440899999999,Sandwich Place
20065,38.883412,-77.028198,Dunkin',38.88472414319495,-77.02368169955663,Donut Shop
20065,38.883412,-77.028198,Subway,38.88698708880235,-77.02563928014051,Sandwich Place
20065,38.883412,-77.028198,Uncommon Cafe (DOE),38.88619036514035,-77.02638168559649,Food Court
20065,38.883412,-77.028198,Moe's Southwest Grill,38.884332096577566,-77.02346741345895,Mexican Restaurant
20065,38.883412,-77.028198,PenFed Credit Union,38.886516398019346,-77.02645053893468,Credit Union
20065,38.883412,-77.028198,Capital Kabobs Food Truck,38.88704216083109,-77.02845006568054,Food Truck
